""	chromosome	start	end	genename	ensemblid
"483"	2	224029318	224049319	SERPINE2	ENSG00000135919
"484"	17	43569620	43589621	ETV4	ENSG00000175832
"485"	5	132359752	132379753	SLC22A5	ENSG00000197375
"486"	15	89680783	89700784	PEX11A	ENSG00000166821
"487"	8	133292022	133312023	NDRG1	ENSG00000104419
"488"	8	23415328	23435329	LOXL2	ENSG00000134013
"489"	19	14126613	14146614	ASF1B	ENSG00000105011
"490"	5	53470626	53490627	FST	ENSG00000134363
"491"	14	91050641	91070642	RPS6KA5	ENSG00000100784
"492"	7	152666141	152686142	XRCC2	ENSG00000196584
"493"	2	218597855	218617856	PLCD4	ENSG00000115556
"494"	16	24835841	24855842	SLC5A11	ENSG00000158865
"495"	9	87716109	87736110	CTSL	ENSG00000135047
"496"	1	230416332	230436333	PGBD5	ENSG00000177614
"497"	12	109106595	109126596	ACACB	ENSG00000076555
"498"	15	62155285	62175286	C2CD4B	ENSG00000205502
"499"	10	34805325	34825326	PARD3	ENSG00000148498
"500"	11	119085467	119105468	H2AFX	ENSG00000188486
"501"	5	177076905	177096906	FGFR4	ENSG00000160867
"502"	7	73789542	73809543	CLDN4	ENSG00000189143
"503"	5	100893282	100913283	ST8SIA4	ENSG00000113532
"504"	20	3229559	3249560	SLC4A11	ENSG00000088836
"505"	22	48479460	48499461	TAFA5	ENSG00000219438
"506"	9	127568989	127588990	FAM129B	ENSG00000136830
"507"	2	213142427	213162428	IKZF2	ENSG00000030419
"508"	10	126378455	126398456	ADAM12	ENSG00000148848
"509"	17	171650	191651	DOC2B	ENSG00000272636
"510"	1	241522134	241542135	KMO	ENSG00000117009
"511"	13	33340630	33360631	STARD13	ENSG00000133121
"512"	1	17195128	17215129	PADI1	ENSG00000142623
"513"	2	75189520	75209521	TACR1	ENSG00000115353
"514"	19	53899335	53919336	CACNG7	ENSG00000105605
"515"	2	191668068	191688069	NABP1	ENSG00000173559
"516"	19	48160603	48180604	LIG1	ENSG00000105486
"517"	16	46679643	46699644	ORC6	ENSG00000091651
"518"	8	124718429	124738430	MTSS1	ENSG00000170873
"519"	4	138232349	138252350	SLC7A11	ENSG00000151012
"520"	16	66978589	66998590	CES4A	ENSG00000172824
"521"	1	6170321	6190322	CHD5	ENSG00000116254
"522"	1	145908717	145928718	PEX11B	ENSG00000131779
"523"	4	88699298	88719299	FAM13A-AS1	ENSG00000248019
"524"	15	29664990	29684991	AC022613.1	ENSG00000256802
"525"	11	62546235	62566236	AHNAK	ENSG00000124942
"526"	8	123841987	123861988	FER1L6	ENSG00000214814
"527"	X	107767342	107787343	TSC22D3	ENSG00000157514
"528"	3	160215496	160235497	C3orf80	ENSG00000180044
"529"	7	151867125	151887126	PRKAG2	ENSG00000106617
"530"	9	136986803	137006804	CLIC3	ENSG00000169583
"531"	4	54219280	54239281	PDGFRA	ENSG00000134853
"532"	6	136540819	136560820	MAP7	ENSG00000135525
"533"	7	8252687	8272688	ICA1	ENSG00000003147
"534"	22	18926553	18946554	PRODH	ENSG00000100033
"535"	18	21232242	21252243	GREB1L	ENSG00000141449
"536"	16	415649	435650	RAB11FIP3	ENSG00000090565
"537"	9	137595685	137615686	ARRDC1	ENSG00000197070
"538"	17	48636923	48656924	LINC02086	ENSG00000244649
"539"	17	74414851	74434852	GPRC5C	ENSG00000170412
"540"	20	31835619	31855620	FOXS1	ENSG00000179772
"541"	2	164833679	164853680	COBLL1	ENSG00000082438
"542"	1	207022756	207042757	C1orf116	ENSG00000182795
"543"	8	94886678	94906679	CCNE2	ENSG00000175305
"544"	11	18238643	18258644	SAA2	ENSG00000134339
"545"	18	7556782	7576783	PTPRM	ENSG00000173482
"546"	20	41330920	41350921	LPIN3	ENSG00000132793
"547"	17	40048290	40068291	THRA	ENSG00000126351
"548"	11	65074164	65094165	CDCA5	ENSG00000146670
"549"	19	1030101	1050102	ABCA7	ENSG00000064687
"550"	14	69249277	69269278	GALNT16	ENSG00000100626
"551"	5	17365653	17385654	AC026785.3	ENSG00000249199
"552"	12	6383879	6403880	AC005840.3	ENSG00000256433
"553"	7	38015695	38035696	SFRP4	ENSG00000106483
"554"	11	47204465	47224466	DDB2	ENSG00000134574
"555"	2	75559722	75579723	EVA1A	ENSG00000115363
"556"	1	204675738	204695739	LRRN2	ENSG00000170382
"557"	2	47685530	47705531	MSH6	ENSG00000116062
"558"	3	37442115	37462116	ITGA9	ENSG00000144668
"559"	12	109704228	109724229	FAM222A	ENSG00000139438
"560"	6	53607171	53627172	AL033397.1	ENSG00000231683
"561"	7	28289321	28309322	CREB5	ENSG00000146592
"562"	11	11999769	12019770	DKK3	ENSG00000050165
"563"	11	111530280	111550281	LAYN	ENSG00000204381
"564"	15	33184733	33204734	FMN1	ENSG00000248905
"565"	15	78067724	78087725	TBC1D2B	ENSG00000167202
"566"	11	6380440	6400441	SMPD1	ENSG00000166311
"567"	7	158577823	158597824	PTPRN2	ENSG00000155093
"568"	11	130438974	130458975	ADAMTS15	ENSG00000166106
"569"	6	26224933	26244934	HIST1H1D	ENSG00000124575
"570"	11	2919420	2939421	PHLDA2	ENSG00000181649
"571"	1	16231398	16251399	MT1XP1	ENSG00000233929
"572"	1	210224047	210244048	SERTAD4-AS1	ENSG00000203706
"573"	5	134496552	134516553	LINC01843	ENSG00000251169
"574"	19	12985608	13005609	NFIX	ENSG00000008441
"575"	17	14291081	14311082	HS3ST3B1	ENSG00000125430
"576"	14	105011148	105031149	CDCA4	ENSG00000170779
"577"	3	149324414	149344415	TM4SF18	ENSG00000163762
"578"	11	117818698	117838699	FXYD2	ENSG00000137731
"579"	1	31754893	31774894	ADGRB2	ENSG00000121753
"580"	X	15665012	15685013	CLTRN	ENSG00000147003
"581"	2	131466119	131486120	TUBA3D	ENSG00000075886
"582"	20	13211274	13231275	ISM1	ENSG00000101230
"583"	5	134104681	134124682	TCF7	ENSG00000081059
"584"	16	70676053	70696054	MTSS2	ENSG00000132613
"585"	2	26837747	26857748	DPYSL5	ENSG00000157851
"586"	10	27144824	27164825	MASTL	ENSG00000120539
"587"	7	74244458	74264459	RFC2	ENSG00000049541
"588"	7	93880753	93900754	TFPI2	ENSG00000105825
"589"	20	57701536	57721537	PMEPA1	ENSG00000124225
"590"	6	31148547	31168548	TCF19	ENSG00000137310
"591"	1	160729057	160749058	SLAMF7	ENSG00000026751
"592"	18	59889948	59909949	PMAIP1	ENSG00000141682
"593"	2	227371995	227391996	TM4SF20	ENSG00000168955
"594"	13	33808069	33828070	RFC3	ENSG00000133119
"595"	2	234487081	234507082	ARL4C	ENSG00000188042
"596"	4	184724130	184744131	CENPU	ENSG00000151725
"597"	1	203616561	203636562	ATP2B4	ENSG00000058668
"598"	12	53046944	53066945	MIR6757	ENSG00000278108
"599"	22	41357333	41377334	TEF	ENSG00000167074
"600"	17	68447513	68467514	WIPI1	ENSG00000070540
"601"	18	62315287	62335288	TNFRSF11A	ENSG00000141655
"602"	17	48038329	48058330	NFE2L1	ENSG00000082641
"603"	19	11187791	11207792	KANK2	ENSG00000197256
"604"	6	85380186	85400187	LINC02535	ENSG00000234155
"605"	15	89077459	89097460	ABHD2	ENSG00000140526
"606"	12	113349493	113369494	SLC8B1	ENSG00000089060
"607"	2	131517675	131537676	CCDC74A	ENSG00000163040
"608"	11	75090563	75110564	SLCO2B1	ENSG00000137491
"609"	7	148874321	148894322	EZH2	ENSG00000106462
"610"	6	34546333	34566334	SPDEF	ENSG00000124664
"611"	20	44177578	44197579	JPH2	ENSG00000149596
"612"	16	83938282	83958283	OSGIN1	ENSG00000140961
"613"	11	17466879	17486880	ABCC8	ENSG00000006071
"614"	10	104075880	104095881	COL17A1	ENSG00000065618
"615"	4	88582434	88602435	HERC3	ENSG00000138641
"616"	18	44670173	44690174	SETBP1	ENSG00000152217
"617"	5	13934543	13954544	DNAH5	ENSG00000039139
"618"	12	21121202	21141203	SLCO1B1	ENSG00000134538
"619"	1	6251098	6271099	GPR153	ENSG00000158292
"620"	5	132360170	132380171	MIR3936HG	ENSG00000233006
"621"	15	80394350	80414351	ARNT2	ENSG00000172379
"622"	19	14486149	14506150	GIPC1	ENSG00000123159
"623"	20	5116626	5136627	PCNA	ENSG00000132646
"624"	10	21487284	21507285	MIR1915HG	ENSG00000204682
"625"	6	1302098	1322099	FOXQ1	ENSG00000164379
"626"	8	144507845	144527846	RECQL4	ENSG00000160957
"627"	3	16504026	16524027	RFTN1	ENSG00000131378
"628"	12	84903615	84923616	SLC6A15	ENSG00000072041
"629"	2	144656312	144676313	TEX41	ENSG00000226674
"630"	10	102216299	102236300	ELOVL3	ENSG00000119915
"631"	9	114796039	114816040	TNFSF15	ENSG00000181634
"632"	5	179796398	179816399	SQSTM1	ENSG00000161011
"633"	17	44937711	44957712	KIF18B	ENSG00000186185
"634"	16	70569895	70589896	IL34	ENSG00000157368
"635"	5	52777896	52797897	ITGA1	ENSG00000213949
"636"	6	33736905	33756906	IP6K3	ENSG00000161896
"637"	16	83958632	83978633	NECAB2	ENSG00000103154
"638"	22	19469459	19489460	CDC45	ENSG00000093009
"639"	1	6384391	6404392	ACOT7	ENSG00000097021
"640"	8	120803273	120823274	SNTB1	ENSG00000172164
"641"	1	18620846	18640847	PAX7	ENSG00000009709
"642"	20	1884167	1904168	SIRPA	ENSG00000198053
"643"	4	10044936	10064937	SLC2A9	ENSG00000109667
"644"	19	40707112	40727113	ITPKC	ENSG00000086544
"645"	7	99669998	99689999	CYP3A5	ENSG00000106258
"646"	10	86961311	86981312	ADIRF-AS1	ENSG00000272734
"647"	5	169573636	169593637	SPDL1	ENSG00000040275
"648"	19	44652278	44672279	CEACAM19	ENSG00000186567
"649"	3	63087711	63107712	KRT8P35	ENSG00000242841
"650"	16	15385754	15405755	MPV17L	ENSG00000156968
"651"	17	50363220	50383221	EME1	ENSG00000154920
"652"	22	23060519	23080520	GNAZ	ENSG00000128266
"653"	19	32962209	32982210	FAAP24	ENSG00000131944
"654"	11	130418609	130438610	ADAMTS8	ENSG00000134917
"655"	16	1933326	1953327	MSRB1	ENSG00000198736
"656"	1	117200960	117220961	VTCN1	ENSG00000134258
"657"	9	114089291	114109292	KIF12	ENSG00000136883
"658"	5	144160873	144180874	KCTD16	ENSG00000183775
"659"	14	85520144	85540145	FLRT2	ENSG00000185070
"660"	10	97309267	97329268	FRAT1	ENSG00000165879
"661"	19	7916135	7936136	CTXN1	ENSG00000178531
"662"	21	36125079	36145080	CBR3	ENSG00000159231
"663"	10	47474158	47494159	ANXA8	ENSG00000265190
"664"	1	156667407	156687408	NES	ENSG00000132688
"665"	4	76296026	76316027	STBD1	ENSG00000118804
"666"	19	6594103	6614104	CD70	ENSG00000125726
"667"	2	42483982	42503983	KCNG3	ENSG00000171126
"668"	16	1908440	1928441	HS3ST6	ENSG00000162040
"669"	17	70043429	70063430	KCNJ16	ENSG00000153822
"670"	3	195574033	195594034	APOD	ENSG00000189058
"671"	X	100919433	100939434	XKRX	ENSG00000182489
"672"	17	76366584	76386585	SPHK1	ENSG00000176170
"673"	8	122723804	122743805	LINC01151	ENSG00000253819
"674"	12	74392600	74412601	AC090015.1	ENSG00000251138
"675"	5	17055598	17075599	BASP1	ENSG00000176788
"676"	4	1198962	1218963	SPON2	ENSG00000159674
"677"	1	154964395	154984396	SHC1	ENSG00000160691
"678"	7	111081006	111101007	LRRN3	ENSG00000173114
"679"	4	109902884	109922885	EGF	ENSG00000138798
"680"	6	30203427	30223428	TRIM26	ENSG00000234127
"681"	3	58527283	58547284	ACOX2	ENSG00000168306
"682"	22	38560204	38580205	DMC1	ENSG00000100206
"683"	7	101352875	101372876	COL26A1	ENSG00000160963
"684"	22	27791756	27811757	MN1	ENSG00000169184
"685"	10	44376493	44396494	CXCL12	ENSG00000107562
"686"	12	120359164	120379165	MSI1	ENSG00000135097
"687"	18	50815402	50835403	MRO	ENSG00000134042
"688"	4	999936	1019937	FGFRL1	ENSG00000127418
"689"	6	117415855	117435856	ROS1	ENSG00000047936
"690"	1	46747838	46767839	CYP4B1	ENSG00000142973
"691"	17	39616740	39636741	PPP1R1B	ENSG00000131771
"692"	4	144651357	144671358	HHIP-AS1	ENSG00000248890
"693"	21	46313875	46333876	C21orf58	ENSG00000160298
"694"	10	35632278	35652279	FZD8	ENSG00000177283
"695"	11	119311521	119331522	AP002956.1	ENSG00000076706
"696"	3	14546075	14566076	GRIP2	ENSG00000144596
"697"	14	99262197	99282198	BCL11B	ENSG00000127152
"698"	12	47069603	47089604	PCED1B	ENSG00000179715
"699"	8	40887833	40907834	ZMAT4	ENSG00000165061
"700"	13	23969805	23989806	SPATA13	ENSG00000182957
"701"	1	23184729	23204730	HTR1D	ENSG00000179546
"702"	22	50160731	50180732	PANX2	ENSG00000073150
"703"	20	10208830	10228831	SNAP25	ENSG00000132639
"704"	19	28596688	28616689	AC079466.1	ENSG00000266976
"705"	4	173325125	173345126	HMGB2	ENSG00000164104
"706"	7	129492531	129512532	SMKR1	ENSG00000240204
"707"	6	47299905	47319906	TNFRSF21	ENSG00000146072
"708"	1	154395193	154415194	IL6R	ENSG00000160712
"709"	11	66362214	66382215	SLC29A2	ENSG00000174669
"710"	11	76200736	76220737	WNT11	ENSG00000085741
"711"	1	36296387	36316388	SH3D21	ENSG00000214193
"712"	19	55344719	55364720	COX6B2	ENSG00000160471
"713"	3	151448709	151468710	IGSF10	ENSG00000152580
"714"	2	86328083	86348084	REEP1	ENSG00000068615
"715"	12	10160542	10180543	TMEM52B	ENSG00000165685
"716"	3	48552015	48572016	PFKFB4	ENSG00000114268
"717"	1	7933165	7953166	TNFRSF9	ENSG00000049249
"718"	17	7284639	7304640	YBX2	ENSG00000006047
"719"	1	87318880	87338881	LMO4	ENSG00000143013
"720"	21	15918296	15938297	MIR99AHG	ENSG00000215386
"721"	15	51095276	51115277	TNFAIP8L3	ENSG00000183578
"722"	5	56126979	56146980	RPL17P22	ENSG00000243592
"723"	20	35761974	35781975	PHF20	ENSG00000025293
"724"	8	47950185	47970186	MCM4	ENSG00000104738
"725"	2	85741344	85761345	ATOH8	ENSG00000168874
"726"	20	37334685	37354686	SRC	ENSG00000197122
"727"	21	36689133	36709134	SIM2	ENSG00000159263
"728"	17	47957810	47977811	CDK5RAP3	ENSG00000108465
"729"	17	43748791	43768792	SOST	ENSG00000167941
"730"	1	231152112	231172113	TRIM67	ENSG00000119283
"731"	1	160390564	160410565	VANGL2	ENSG00000162738
"732"	6	54297859	54317860	TINAG	ENSG00000137251
"733"	9	83528546	83548547	FRMD3	ENSG00000172159
"734"	9	87854096	87874097	AL772337.3	ENSG00000234460
"735"	3	16792651	16812652	PLCL2	ENSG00000154822
