""	chromosome	start	end	genename
"700"	13	23969805	23989806	SPATA13
"701"	1	23184729	23204730	HTR1D
"702"	22	50160731	50180732	PANX2
"703"	20	10208830	10228831	SNAP25
"704"	19	28596688	28616689	AC079466.1
"705"	4	173325125	173345126	HMGB2
"706"	7	129492531	129512532	SMKR1
"707"	6	47299905	47319906	TNFRSF21
"708"	1	154395193	154415194	IL6R
"709"	11	66362214	66382215	SLC29A2
"710"	11	76200736	76220737	WNT11
"711"	1	36296387	36316388	SH3D21
"712"	19	55344719	55364720	COX6B2
"713"	3	151448709	151468710	IGSF10
"714"	2	86328083	86348084	REEP1
"715"	12	10160542	10180543	TMEM52B
"716"	3	48552015	48572016	PFKFB4
"717"	1	7933165	7953166	TNFRSF9
"718"	17	7284639	7304640	YBX2
"719"	1	87318880	87338881	LMO4
"720"	21	15918296	15938297	MIR99AHG
"721"	15	51095276	51115277	TNFAIP8L3
"722"	5	56126979	56146980	RPL17P22
"723"	20	35761974	35781975	PHF20
"724"	8	47950185	47970186	MCM4
"725"	2	85741344	85761345	ATOH8
"726"	20	37334685	37354686	SRC
"727"	21	36689133	36709134	SIM2
"728"	17	47957810	47977811	CDK5RAP3
"729"	17	43748791	43768792	SOST
"730"	1	231152112	231172113	TRIM67
"731"	1	160390564	160410565	VANGL2
"732"	6	54297859	54317860	TINAG
"733"	9	83528546	83548547	FRMD3
