""	chromosome	start	end	genename
"689"	18	702662	722663	ENOSF1
"690"	2	178184481	178204482	OSBPL6
"691"	8	103011063	103031064	ATP6V1C1
"692"	12	103831234	103851235	NT5DC3
"693"	5	76393285	76413286	IQGAP2
"694"	8	95123785	95143786	PLEKHF2
"695"	8	19074730	19094731	PSD3
"696"	17	64768937	64788938	AC103810.3
"697"	3	98583648	98603649	CPOX
"698"	16	30086915	30106916	YPEL3
"699"	2	127801187	127821188	WDR33
"700"	16	87382142	87402143	FBXO31
"701"	16	28529174	28549175	NUPR1
"702"	22	30495711	30515712	SEC14L4
"703"	12	56256858	56276859	COQ10A
"704"	6	108251246	108271247	SNX3
"705"	2	186476253	186496254	ZC3H15
"706"	21	43709094	43729095	PDXK
"707"	4	122142333	122162334	KIAA1109
"708"	9	112740760	112760761	SNX30
"709"	19	44015342	44035343	ZNF222
"710"	3	44638732	44658733	ZNF35
"711"	4	8172072	8192073	SH3TC1
"712"	1	99840361	99860362	AGL
"713"	12	55719104	55739105	AC009779.2
"714"	11	66279145	66299146	YIF1A
"715"	15	50755709	50775710	SPPL2A
"716"	17	80025872	80045873	TBC1D16
"717"	6	24709998	24729999	C6orf62
"718"	1	117919621	117939622	GDAP2
"719"	9	33254720	33274721	BAG1
"720"	7	107158961	107178962	HBP1
"721"	2	27479789	27499790	IFT172
"722"	19	38364536	38384537	PSMD8
"723"	10	102422584	102442585	CUEDC2
"724"	11	10848179	10868180	ZBED5-AS1
"725"	5	16607058	16627059	RETREG1
"726"	6	13701835	13721836	RANBP9
"727"	20	22575455	22595456	FOXA2
"728"	17	4729928	4749929	CXCL16
"729"	17	76255348	76275349	UBALD2
"730"	X	53215422	53235423	KDM5C
"731"	9	127438630	127458631	SNORA65
"732"	8	58649853	58669854	NSMAF
"733"	8	27301272	27321273	TRIM35
"734"	10	5656595	5676596	ASB13
"735"	12	55808041	55828042	ORMDL2
"736"	1	155677960	155697961	DAP3
"737"	6	110805958	110825959	CDK19
"738"	1	36387908	36407909	LSM10
"739"	3	132407502	132427503	DNAJC13
"740"	16	3014027	3034028	THOC6
"741"	22	43141547	43161548	TSPO
"742"	1	109538615	109558616	GNAI3
"743"	21	46276342	46296343	YBEY
"744"	11	63828928	63848929	MARK2
"745"	1	205621962	205641963	ELK4
"746"	2	3367882	3387883	EIPR1
"747"	4	103188409	103208410	CENPE
"748"	14	92784305	92804306	GOLGA5
"749"	17	81871106	81891107	AC145207.5
"750"	18	32460882	32480883	GAREM1
"751"	9	97003708	97023709	MFSD14C
"752"	2	105428513	105448514	FHL2
"753"	15	39924115	39944116	EIF2AK4
"754"	7	94499219	94519220	CASD1
"755"	19	2446959	2466960	LMNB2
"756"	20	41330920	41350921	LPIN3
"757"	1	161108055	161128056	PFDN2
"758"	12	50047548	50067549	ASIC1
"759"	1	22700839	22720840	EPHB2
"760"	21	17503043	17523044	CXADR
"761"	9	137608906	137628907	ARRDC1-AS1
"762"	10	97436170	97456171	ZDHHC16
"763"	20	50500321	50520322	PTPN1
"764"	19	55062020	55082021	EPS8L1
"765"	7	87866360	87886361	SLC25A40
"766"	11	67998578	68018579	ALDH3B1
"767"	19	23240390	23260391	ZNF724
"768"	17	80139627	80159628	AC087741.2
"769"	11	61420042	61440043	SDHAF2
"770"	X	2490976	2510977	ZBED1
"771"	X	69155793	69175794	PJA1
"772"	14	73634875	73654876	DNAL1
"773"	3	141728249	141748250	RNF7
"774"	18	36177497	36197498	MOCOS
"775"	1	156581762	156601763	NAXE
"776"	11	18516951	18536952	TSG101
"777"	17	42763449	42783450	VPS25
"778"	21	41869482	41889483	PRDM15
"779"	10	119587029	119607030	TIAL1
"780"	1	227725411	227745412	JMJD4
"781"	2	161126908	161146909	TANK
"782"	20	63855228	63875229	TPD52L2
"783"	6	83849656	83869657	CYB5R4
"784"	5	177341668	177361669	LMAN2
"785"	19	3562777	3582778	HMG20B
"786"	13	48027968	48047969	SUCLA2
"787"	14	90386502	90406503	CALM1
"788"	15	50414380	50434381	USP8
"789"	13	19948670	19968671	ZMYM2
"790"	10	89404568	89424569	IFIT5
"791"	9	5221419	5241420	INSL4
"792"	20	8009805	8029806	TMX4
"793"	12	48855870	48875871	RND1
"794"	2	11667595	11687596	LPIN1
"795"	19	16630668	16650669	AC024075.1
"796"	1	222703210	222723211	AIDA
"797"	6	99384195	99404196	COQ3
"798"	18	7556782	7576783	PTPRM
"799"	3	9388579	9408580	THUMPD3-AS1
"800"	8	25174689	25194690	DOCK5
"801"	11	359499	379500	B4GALNT4
"802"	10	119155667	119175668	SFXN4
"803"	4	2031903	2051904	NELFA
"804"	4	26566437	26586438	TBC1D19
"805"	2	241305100	241325101	SEPT2
"806"	12	112003348	112023349	ERP29
"807"	1	150755792	150775793	CTSS
"808"	19	55625016	55645017	ZNF580
"809"	20	35689272	35709273	ROMO1
"810"	11	1754573	1774574	CTSD
"811"	CHR_HSCHR6_MHC_MANN_CTG1	33344325	33364326	SLC39A7
"812"	2	110235420	110255421	MTLN
"813"	5	83461618	83481619	VCAN
"814"	9	113211318	113231319	FKBP15
"815"	3	36370344	36390345	STAC
"816"	17	8153546	8173547	VAMP2
"817"	7	99462890	99482891	ZNF789
"818"	15	84590986	84610987	ZSCAN2
"819"	X	119596443	119616444	NKRF
"820"	8	130007129	130027130	FAM49B
"821"	7	149252171	149272172	ZNF783
"822"	21	41757089	41777090	RIPK4
"823"	17	68091908	68111909	LINC00674
"824"	3	66491263	66511264	LRIG1
"825"	1	83989150	84009151	TTLL7
"826"	CHR_HSCHR22_1_CTG3	22558466	22578467	PRAME
"827"	10	94491434	94511435	HELLS
"828"	6	7097597	7117598	RREB1
"829"	22	17074954	17094955	IL17RA
"830"	3	44574888	44594889	ZNF197
"831"	7	33099404	33119405	RP9
"832"	20	49905529	49925530	SPATA2
"833"	17	42001382	42021383	NKIRAS2
"834"	10	102384110	102404111	NFKB2
"835"	11	78564874	78584875	NARS2
"836"	1	109273186	109293187	PSRC1
"837"	4	158191604	158211605	TMEM144
"838"	22	25554675	25574676	GRK3
"839"	13	41051509	41071510	WBP4
"840"	1	173814720	173834721	CENPL
"841"	3	49348358	49368359	GPX1
"842"	5	166372305	166392306	AC026403.1
"843"	1	99959351	99979352	SLC35A3
"844"	1	154973338	154993339	FLAD1
"845"	19	38309845	38329846	KCNK6
"846"	14	58234843	58254844	PSMA3
"847"	9	136473759	136493760	SEC16A
"848"	17	30467362	30487363	GOSR1
"849"	10	104328465	104348466	ITPRIP
"850"	7	100817523	100837524	EPHB4
"851"	3	194126148	194146149	HES1
"852"	17	17171504	17191505	AC055811.4
"853"	10	68323049	68343050	PBLD
"854"	11	62602765	62622766	EML3
"855"	15	51819628	51839629	TMOD3
"856"	20	2514702	2534703	ZNF343
"857"	17	21033760	21053761	USP22
"858"	19	40434335	40454336	SERTAD3
"859"	9	27519814	27539815	MOB3B
"860"	7	92518773	92538774	RBM48
"861"	12	6863389	6883390	RPL13P5
"862"	20	46354458	46374459	SLC35C2
"863"	9	94020794	94040795	PTPDC1
"864"	2	46531806	46551807	RHOQ
"865"	4	158662125	158682126	ETFDH
"866"	12	124872668	124892669	SCARB1
"867"	CHR_HSCHR16_3_CTG1	4346579	4366580	PAM16
"868"	14	36310637	36330638	MBIP
"869"	12	10162138	10182139	OLR1
"870"	3	47772106	47792107	SMARCC1
"871"	22	45298968	45318969	FAM118A
"872"	5	159200053	159220054	RNF145
"873"	14	20403501	20423502	TEP1
"874"	6	159959099	159979100	IGF2R
"875"	16	67237481	67257482	FHOD1
"876"	14	23959874	23979875	DHRS4L2
"877"	5	5410664	5430665	ICE1
"878"	19	42232625	42252626	GSK3A
"879"	3	72878073	72898074	GXYLT2
"880"	12	133171409	133191410	ZNF268
"881"	18	58852600	58872601	ZNF532
"882"	6	10876831	10896832	SYCP2L
"883"	1	211820763	211840764	LPGAT1
"884"	15	64693281	64713282	OAZ2
"885"	12	49356584	49376585	SPATS2
"886"	2	86096223	86116224	PTCD3
"887"	5	177799407	177819408	AC106795.1
"888"	20	4676236	4696237	PRNP
"889"	1	46330177	46350178	NSUN4
"890"	7	27190091	27210092	HOXA13
"891"	5	96865939	96885940	ERAP2
"892"	CHR_HSCHR19_4_CTG2	1146979	1166980	SBNO2
"893"	12	124983645	125003646	BRI3BP
"894"	14	50821121	50841122	NIN
"895"	X	85369717	85389718	POF1B
"896"	1	20722837	20742838	SH2D5
"897"	6	89809794	89829795	MDN1
"898"	10	1039538	1059539	WDR37
"899"	11	27712058	27732059	BDNF
"900"	20	25686853	25706854	ZNF337
"901"	12	56031351	56051352	RPS26
"902"	4	1702891	1722892	TACC3
"903"	12	53667408	53687409	ATP5MC2
"904"	21	33633926	33653927	CRYZL1
"905"	10	21514646	21534647	MLLT10
"906"	19	1642615	1662616	TCF3
"907"	14	103686353	103706354	AL049840.4
"908"	2	120213400	120233401	TMEM185B
"909"	2	189573758	189593759	SLC40A1
"910"	X	107108823	107128824	RBM41
"911"	3	93970139	93990140	ARL13B
"912"	7	94646325	94666326	PEG10
"913"	4	38846817	38866818	TLR1
"914"	11	18578747	18598748	UEVLD
"915"	5	150591080	150611081	SYNPO
"916"	2	27022910	27042911	TMEM214
"917"	13	49985888	50005889	TRIM13
"918"	16	87859507	87879508	SLC7A5
"919"	20	3776740	3796741	CENPB
"920"	1	184041651	184061652	TSEN15
"921"	11	17198153	17218154	NUCB2
"922"	8	17236878	17256879	CNOT7
"923"	19	49477554	49497555	RPL13A
"924"	4	147674163	147694164	PRMT9
"925"	15	78289703	78309704	WDR61
"926"	19	2773282	2793283	SGTA
"927"	5	81962023	81982024	ATG10
"928"	2	120003077	120023078	EPB41L5
"929"	22	28790597	28810598	XBP1
"930"	5	64758930	64778931	CWC27
"931"	17	3648092	3668093	AC027796.4
"932"	8	124440820	124460821	TRMT12
"933"	5	111081716	111101717	WDR36
"934"	19	39530333	39550334	EID2
"935"	14	20458954	20478955	PNP
"936"	16	67863052	67883053	EDC4
"937"	16	67837811	67857812	CENPT
"938"	10	117116586	117136587	SHTN1
"939"	1	92289059	92309060	RPAP2
"940"	2	64134420	64154421	PELI1
"941"	19	40415992	40435993	SERTAD1
"942"	9	122149779	122169780	NDUFA8
"943"	X	12781355	12801356	PRPS2
"944"	2	206433532	206453533	ADAM23
"945"	5	173225311	173245312	NKX2-5
"946"	12	92135846	92155847	BTG1
"947"	20	45924683	45944684	PCIF1
"948"	2	191010960	191030961	STAT1
"949"	1	52762648	52782649	RPS13P2
"950"	1	231231207	231251208	GNPAT
"951"	14	52059228	52079229	NID2
"952"	9	124852130	124872131	ARPC5L
"953"	17	48594912	48614913	HOXB3
"954"	6	170574692	170594693	PDCD2
"955"	18	12661145	12681146	AP005482.3
"956"	22	37665636	37685637	LGALS1
"957"	17	31891708	31911709	UTP6
"958"	17	56968105	56988106	SCPEP1
"959"	7	75476299	75496300	POM121C
"960"	19	3564290	3584291	MFSD12
"961"	17	75711328	75731329	ITGB4
"962"	14	77366689	77386690	SAMD15
"963"	4	158163318	158183319	GASK1B
"964"	1	6199389	6219390	RPL22
"965"	CHR_HSCHR6_MHC_COX_CTG1	30671283	30691284	NRM
"966"	18	3583732	3603733	DLGAP1-AS1
"967"	X	154531199	154551200	IKBKG
"968"	5	149131483	149151484	ABLIM3
"969"	2	187555760	187575761	TFPI
"970"	3	44107299	44127300	AC006058.1
"971"	3	113522296	113542297	SIDT1
"972"	14	63631861	63651862	WDR89
"973"	20	33433892	33453893	SNTA1
"974"	17	44314870	44334871	SLC25A39
"975"	10	28523066	28543067	WAC-AS1
"976"	2	240576734	240596735	CAPN10
"977"	4	112221737	112241738	AP1AR
"978"	19	43771257	43791258	KCNN4
"979"	17	76727374	76747375	SRSF2
"980"	20	54198087	54218088	PFDN4
"981"	3	112551709	112571710	SLC35A5
"982"	17	48623572	48643573	HOXB7
"983"	8	42833325	42853326	THAP1
"984"	2	74644228	74664229	SEMA4F
"985"	11	20353685	20373686	HTATIP2
"986"	1	37999258	38019259	UTP11
"987"	CHR_HG2030_PATCH	133338366	133358367	RPL7A
"988"	16	84809985	84829986	CRISPLD2
"989"	CHR_HSCHR6_MHC_MCF_CTG1	30181586	30201587	TRIM31
"990"	X	101398012	101418013	GLA
"991"	6	70657776	70677777	SMAP1
"992"	2	227371995	227391996	TM4SF20
"993"	22	41534606	41554607	POLR3H
"994"	13	52445429	52465430	CKAP2
"995"	11	57558284	57578285	UBE2L6
"996"	5	115534775	115554776	FEM1C
"997"	9	129100950	129120951	PTPA
"998"	X	51793007	51813008	MAGED1
"999"	1	6225972	6245973	ICMT
"1000"	16	19876167	19896168	GPRC5B
